,Transect,X,Y,Type,Site,Site+Point
1,aéroport,714593,1614233,Mangrove,S1,S1P1
2,aéroport,714416,1614194,Mangrove,S1,S1P2
3,aéroport,714133,1614141,Mangrove,S1,S1P3
4,aéroport,713914,1614103,Mangrove,S1,S1P4
5,aéroport,713719,1614062,Mangrove,S1,S1P5
6,aéroport,713559,1614036,Mangrove,S1,S1P6
7,aéroport,713381,1614004,Mangrove,S1,S1P7
8,aéroport,713205,1613968,Mangrove,S1,S1P8
9,aéroport,713048,1613940,Mangrove,S1,S1P9
10,aéroport,712916,1613819,Mangrove,S1,S1P10
11,anse couleuvre,691753,1641035,Forêt humide,S2,S2P1
12,anse couleuvre,691872,1641189,Forêt humide,S2,S2P2
13,anse couleuvre,691813,1641376,Forêt humide,S2,S2P3
14,anse couleuvre,691999,1641380,Forêt humide,S2,S2P4
15,anse couleuvre,692172,1641442,Forêt humide,S2,S2P5
16,anse couleuvre,692361,1641475,Forêt humide,S2,S2P6
17,anse couleuvre,692570,1641450,Forêt humide,S2,S2P7
18,anse couleuvre,692725,1641586,Forêt humide,S2,S2P8
19,anse couleuvre,692929,1641582,Forêt humide,S2,S2P9
20,anse couleuvre,693114,1641579,Forêt humide,S2,S2P10
21,anse mathurin,707902,1608327,Forêt sèche,S3,S3P1
22,anse mathurin,707746,1608371,Forêt sèche,S3,S3P2
23,anse mathurin,707592,1608388,Forêt sèche,S3,S3P3
24,anse mathurin,707436,1608430,Forêt sèche,S3,S3P4
25,anse mathurin,707307,1608538,Forêt sèche,S3,S3P5
26,anse mathurin,707194,1608416,Forêt sèche,S3,S3P6
27,anse mathurin,707050,1608416,Forêt sèche,S3,S3P7
28,anse mathurin,707037,1608258,Forêt sèche,S3,S3P8
29,anse mathurin,706926,1608146,Forêt sèche,S3,S3P9
30,anse mathurin,706865,1608009,Forêt sèche,S3,S3P10
31,anse meunier,727926,1594648,Plage,S4,S4P1
32,anse meunier,728023,1594527,Plage,S4,S4P2
33,anse meunier,728048,1594366,Plage,S4,S4P3
34,anse meunier,728009,1594221,Plage,S4,S4P4
35,anse meunier,727946,1594081,Plage,S4,S4P5
36,anse meunier,728075,1593984,Plage,S4,S4P6
37,anse meunier,728149,1593826,Plage,S4,S4P7
38,anse meunier,728083,1593698,Plage,S4,S4P8
39,anse meunier,728236,1593639,Plage,S4,S4P9
40,anse meunier,728386,1593600,Plage,S4,S4P10
41,autre bord,720492,1630782,Plage,S5,S5P1
42,autre bord,720456,1630935,Plage,S5,S5P2
43,autre bord,720495,1631077,Plage,S5,S5P3
44,autre bord,720435,1631201,Plage,S5,S5P4
45,autre bord,720439,1631336,Plage,S5,S5P5
46,autre bord,720428,1631419,Plage,S5,S5P6
47,autre bord,720505,1631553,Plage,S5,S5P7
48,autre bord,720598,1631667,Plage,S5,S5P8
49,autre bord,720708,1631768,Plage,S5,S5P9
50,autre bord,720839,1631862,Plage,S5,S5P10
51,blin,724776,1631197,Forêt sèche,S6,S6P1
52,blin,724840,1631061,Forêt sèche,S6,S6P2
53,blin,724878,1630890,Forêt sèche,S6,S6P3
54,blin,724943,1630751,Forêt sèche,S6,S6P4
55,blin,725006,1630611,Forêt sèche,S6,S6P5
56,blin,725115,1630500,Forêt sèche,S6,S6P6
57,blin,725268,1630506,Forêt sèche,S6,S6P7
58,blin,725418,1630451,Forêt sèche,S6,S6P8
59,blin,725560,1630409,Forêt sèche,S6,S6P9
60,blin,725730,1630317,Forêt sèche,S6,S6P10
61,bois la charles,721917,1610018,Forêt humide,S7,S7P1
62,bois la charles,722017,1610027,Forêt humide,S7,S7P2
63,bois la charles,721891,1609928,Forêt humide,S7,S7P3
64,bois la charles,721955,1609762,Forêt humide,S7,S7P4
65,bois la charles,721736,1609627,Forêt humide,S7,S7P5
66,bois la charles,721819,1609494,Forêt humide,S7,S7P6
67,bois la charles,721979,1610445,Forêt humide,S7,S7P7
68,bois la charles,722319,1609835,Forêt humide,S7,S7P8
69,bois la charles,722533,1609678,Forêt humide,S7,S7P9
70,bois la charles,722544,1609519,Forêt humide,S7,S7P10
71,borelie,714196,1628248,Périurbain,S8,S8P1
72,borelie,713414,1629277,Périurbain,S8,S8P2
