,French Name,Latin Name,Origin,clean_name
0,Aigrette garzette,Egretta garzetta,Migrateur,aigrette garzette
1,Aigrette neigeuse,Egretta thula,Migrateur,aigrette neigeuse
2,Aigrette tricolore,Egretta tricolor ruficollis,Migrateur,aigrette tricolore
3,Amazone aourou,Amazona amazonica,Exogène introduit par l'homme,amazone aourou
4,Astrild à joues orange,Estrilda melpoda,Exogène introduit par l’homme,astrild à joues orange
5,Astrild cendré,Estrilda troglodytes,Exogène introduit par l'homme,astrild cendré
6,Astrild ondulé,Estrilda astrild,Exogène introduit par l'homme,astrild ondulé
7,Astrild ondulé,Estrilda astrild,Exogène introduit par l'homme,astrild ondulé
8,Balbuzard pêcheur,Pandion haliaetus ridgwayi,Migrateur,balbuzard pêcheur
9,Bécasseau minuscule,Calidris minutilla,Migrateur,bécasseau minuscule
10,Bengali rouge,Amandava amandava,Exogène introduit par l'homme,bengali rouge
11,Bihoreau gris,Nyctanassa violacea bancrofti,Autochtone,bihoreau gris
12,Bihoreau violacé,Nycticorax nycticorax hoactli,Migrateur,bihoreau violacé
13,Canard musqué,Cairina moschata (domestique),Exogène introduit par l'homme,canard musqué
14,Capucin à tête blanche,Lonchura maja,Exogène introduit par l'homme,capucin à tête blanche
15,Capucin à tête noire,Lonchura atricapilla,Exogène introduit par l'homme,capucin à tête noire
16,Chevalier criard,Tringa melanoleuca,Migrateur,chevalier criard
17,Chevalier grivelé,Actitis macularia,Migrateur,chevalier grivelé
18,Chevalier pattes jaunes,Tringa flavipes,Migrateur,chevalier pattes jaunes
19,Chevalier solitaire,Tringa solitaria,Migrateur,chevalier solitaire
20,Colibri à tête bleue,Riccordia bicolor ou Cyanophaia bicolor,Endémique des Petites Antilles,colibri à tête bleue
21,Colibri falle-vert,Eulampis h. holosericeus,Endémique des Petites Antilles,colibri falle-vert
22,Colibri huppé,Orthorhyncus cristatus exilis,Endémique des Petites Antilles,colibri huppé
23,Colibri madère,Eulampis jugularis,Endémique des Petites Antilles,colibri madère
24,Colombe à croissant,Geotrygon mystacea,Endémique des Petites Antilles,colombe à croissant
25,Colombe à queue noire,Columbina passerina trochila,Autochtone,colombe à queue noire
26,Colombe rouviolette,Geotrygon  montana martinica,Autochtone,colombe rouviolette
27,Coq bankiva,Gallus gallus,Exogène introduit par l'homme,coq bankiva
28,Coulicou manioc,Coccyzus minor,Autochtone,coulicou manioc
29,Crabier chevelu,Ardeola ralloides,Migrateur rare,crabier chevelu
30,Crécerelle d'Amérique,Falco sparverius dominicensis,Autochtone,crécerelle d'amérique
31,Elénie siffleuse,Elaenia m. martinica,Autochtone,elénie siffleuse
32,Euplecte franciscain,Euplectes franciscanus,Exogène introduit par l'homme,euplecte franciscain
33,Faucon émerillon,Falco columbarius,Migrateur,faucon émerillon
34,Faucon pèlerin,Falco peregrinus,Migrateur,faucon pèlerin
35,Frégate superbe,Fregata magnificens,Marin,frégate superbe
36,Gallinule d'Amérique,Gallinula galeata cerceris,Autochtone,gallinule d'amérique
37,Grande aigrette,Ardea alba egretta,Migrateur,grande aigrette
38,Grande héron,          Ardea herodias occidentalis,Migrateur,grande héron
39,Gravelot semipalmé,Charadrius semipalmatus,Migrateur,gravelot semipalmé
40,Héron garde-bœuf,Bubulcus i. ibis,Exogène colonisateur naturel,héron garde-bœuf
41,Héron vert,Butorides v. virescens,Autochtone,héron vert
42,Hirondelle à ventre blanc,Progne dominicensis,Migrateur,hirondelle à ventre blanc
43,Hirondelle de rivage,Riparia Pogne,Migrateur,hirondelle de rivage
44,Hirondelle rustique,Hirundo r. rustica,Migrateur,hirondelle rustique
45,Huîtrier d'Amérique,Haematopus palliatus,Migrateur,huîtrier d'amérique
46,Martin pêcheur d'Amérique,Megaceryle alcyon,Migrateur,martin pêcheur d'amérique
47,Martinet chiquesol,Chaetura martinica,Endémique des Petites Antilles,martinet chiquesol
48,Martinet sombre,Cypseloides n. niger,Migrateur,martinet sombre
49,Merle à lunettes,Turdus n. nudigenis,Exogène colonisateur naturel,merle à lunettes
50,Moqueur corossol,Margarops fuscatus densirostris,Endémique des Petites Antilles,moqueur corossol
51,Moqueur des savanes,Mimus gilvus antillarum,Autochtone,moqueur des savanes
52,Moqueur gorge blanche,Ramphocinclus brachyurus,Endémique de la Martinique,moqueur gorge blanche
53,Moqueur grivotte,Allenia fusca hypenema,Endémique des Petites Antilles,moqueur grivotte
54,Moucherolle gobemouche,Contopus latirostris brunnei capillus,Endémique des Petites Antilles,moucherolle gobemouche
55,Mouette atricilla,Leucophaeus atricilla,Marin,mouette atricilla
56,Noddi brun,Anous stolidus,Marin,noddi brun
57,Organiste louis-d'or,Euphonia musica flavifrons,Autochtone,organiste louis-d'or
58,Oriole de Martinique,Icterus bonana,Endémique de la Martinique,oriole de martinique
59,Paruline jaune,Dendroica  ou Setophaga petechia ruficapilla,Autochtone,paruline jaune
60,Pélican brun,Pelecanus occidentalis,Marin,pélican brun
61,Perruche à collier,Psittacula krameri,Exogène introduit par l'homme,perruche à collier
62,Petite Buse,Buteo platypterus rivierei,Autochtone,petite buse
63,Pigeon à cou rouge,Patagioenas squamosa,Migrateur,pigeon à cou rouge
64,Pigeon biset domestique,Columba livia,Exogène introduit par l'homme,pigeon biset domestique
65,Quiscale merle,Quiscalus lugubris guadeloupensis,Autochtone,quiscale merle
66,Saltator gros-bec,Saltator a. albicollis,Autochtone,saltator gros-bec
67,Solitaire siffleur,Myadestes g. genibarbis,Endémique des Petites Antilles,solitaire siffleur
68,Sporophile cici, Melanospiza bicolor ou Tiaris bicolor,Autochtone,sporophile cici
69,Sporophile curio,Sporophila angolensis torrida,Exogène introduit par l'homme,sporophile curio
70,Sporophile rougegorge,Loxigilla n. noctis,Endémique des Petites Antilles,sporophile rougegorge
71,Sterne bridée,Onychoprion anaethetus,Marin,sterne bridée
72,Sterne de Dougall,Sterna d. dougallii,Marin,sterne de dougall
73,Sterne fuligineuse,Onychoprion fuscatus,Marin,sterne fuligineuse
74,Sterne royale,Thalasseus maximus,Marin,sterne royale
75,Sucrier à ventre jaune,Coereba flaveola martinicana,Autochtone,sucrier à ventre jaune
76,Tisserin gendarme,Ploceus cucullatus,Exogène introduit par l'homme,tisserin gendarme
77,Tournepierre à collier,Arenariai nterpres,Migrateur,tournepierre à collier
78,Tourterelle à queue carrée,Zenaida a. aurita,Autochtone,tourterelle à queue carrée
79,Tourterelle oreillarde,Zenaida auriculata stenura,Exogène colonisateur naturel,tourterelle oreillarde
80,Tourterelle turque,Streptopelia decaocto,Exogène introduit par l'homme,tourterelle turque
81,Trembleur gris,Cinclocerthia g. gutturalis,Endémique des Petites Antilles,trembleur gris
82,Tyran gris,Tyrannus dominicensis vorax,Autochtone,tyran gris
83,Tyran janeau,Myiarchus oberi sclateri,Endémique des Petites Antilles,tyran janeau
84,Vacher luisant,Molothrus bonariensi minimus,Exogène colonisateur naturel,vacher luisant
85,Viréo à moustaches,Vireo altiloquus barbadensis,Autochtone,viréo à moustaches
86,Aigrette bleue,Egretta caerulea,Migrateur,aigrette bleue
